startup_name,domain,round,amount_usd,investor,date,source,scraped_at,headquarters
Rosada,Retail > Mom & Baby Care,Angel,45900.0,Namita Thapar,,,2026-05-25,West Bengal
Rosada,Retail > Mom & Baby Care,Angel,138000.0,Ritesh Agarwal,,,2026-05-25,West Bengal
Benny's Bowl,Retail > Pet Tech,Seed,1400000.0,Atomic Capital,,,2026-05-25,Delhi
Supertails,Retail > Pet Tech,Series C,30000000.0,Venturi Partners,,,2026-05-25,Karnataka
Style Baazar,Retail > Retail Chains,Series B,8940000.0,Cupid,,,2026-05-25,West Bengal
Style Baazar,Retail > Retail Chains,Series B,8940000.0,Chandurkar Investments,,,2026-05-25,West Bengal
Artociti,Retail > Retailers,Angel,53300.0,Namita Thapar,,,2026-05-25,-
Artociti,Retail > Retailers,Angel,110000.0,Vineeta Singh,,,2026-05-25,-
Rozana,Retail > Rural Ecommerce,Series B,26600000.0,Bertelsmann India Investments,,,2026-05-25,"Delhi, India"
Rozana,Retail > Rural Ecommerce,Debt,5000000.0,Bertelsmann India Investments,,,2026-05-25,"Delhi, India"
Wishlink,Retail > Social Commerce,Series B,17500000.0,Vertex Ventures,,,2026-05-25,Haryana
Zoop,Retail > Video Commerce,Seed,,Peak XV Partners,,,2026-05-25,Haryana
Avni Wellness,Retail – Beauty Tech,Angel,84500.0,Arokiaswamy Velumani,,,2026-05-25,Maharashtra
Shesha Ayurveda,Retail – Beauty Tech,Angel,218000.0,Aman Gupta,,,2026-05-25,—
MeMeraki,Retail – Home Improvements,Seed,,Next Bharat Ventures,,,2026-05-25,Haryana
Carrum,Road Transport Tech,Series A,,Uber,,,2026-05-25,Haryana
Transvolt,Road Transport Tech,Series B,15000000.0,Finnfund,,,2026-05-25,Maharashtra
Octobotics Tech,Robotics,Seed,1110000.0,Navam Capital,,,2026-05-25,Uttar Pradesh
Raana semiconductors,Semiconductor Manufacturing Equipment,Seed,3000000.0,Artha Venture Fund,,,2026-05-25,Tamil Nadu
BigEndian,Semiconductors,Seed,6000000.0,Indian Angel Network,,,2026-05-25,"Karnataka, India"
BigEndian,Semiconductors,Seed,6000000.0,Vertex Ventures,,,2026-05-25,"Karnataka, India"
HrdWyr,Semiconductors,Series A,13000000.0,Ideaspring Capital,,,2026-05-25,Karnataka
DeepLase Technologies,Semiconductors - Photonics,Seed,647000.0,MGF Kavachh,,,2026-05-25,Delhi
C2I Semiconductors,Semiconductors > Analog and Mixed Signal ICs,Series A,15000000.0,Peak XV Partners,,,2026-05-25,Karnataka
Hi-Q Electronics,Semiconductors > Printed Circuit Boards,PE,19100000.0,ValueQuest,,,2026-05-25,"Karnataka, India"
SkinInspired,Skincare,Series A,2900000.0,Spring,,,2026-05-25,Rajasthan
DrinkPrime,Smart Home Tech,Series B,2170000.0,Artha Venture Fund,,,2026-05-25,Karnataka
Culture,Social Platforms,Seed,220000.0,Acuvest Infra,,,2026-05-25,Telangana
Mozark,Software Testing,Series B,40000000.0,IFC,,,2026-05-25,Maharashtra
Oriana Power,Solar Energy,Post-IPO,4750000.0,Dalmia Cement Bharat,,,2026-05-25,Delhi
Radiance Renewables,Solar Energy,Series C,100000000.0,Impact Fund Denmark,,,2026-05-25,Maharashtra
PolyCycl,Solid Waste Management Tech,Series A,2860000.0,Rainmatter,,,2026-05-25,Haryana
AgniKul,Space Tech,Series C,2700000.0,TIDCO,,,2026-05-25,Tamil Nadu
Aule Space,Space Tech,Seed,2000000.0,pi Ventures,,,2026-05-25,Karnataka
Dhruva Space,Space Tech,Grant,11000000.0,Anrf,,,2026-05-25,Telangana
GalaxEye,Space Tech,Series A,4800000.0,Speciale Invest,,,2026-05-25,Karnataka
Sanyark,Space Tech,Seed,,AUM Ventures,,,2026-05-25,Telangana
Satlabs Space Systems,Space Tech,Seed,1000000.0,Finvolve,,,2026-05-25,—
Skyroot,Space Tech,Series C,60000000.0,Sherpalo Ventures,,,2026-05-25,"Telangana, India"
Skyroot,Space Tech,Series C,60000000.0,Mukesh Bansal,,,2026-05-25,"Telangana, India"
Skitii,Speech and Voice Recognition,Angel,436000.0,IIT Mandi Catalyst,,,2026-05-25,Maharashtra
Gamepoint,Sports Tech,Seed,775000.0,Raj P Narayanam,,,2026-05-25,Telangana
Velmenni,Telecom - Infrastructure Tech,Seed,3300000.0,pi Ventures,,,2026-05-25,Delhi
Astrome,Telecom > Telecom Infrastructure Tech,Grant,551000.0,IN-SPACe,,,2026-05-25,Karnataka
Digital Striker,Telecom Infrastructure,Seed,1000000.0,Foxhog Ventures,,,2026-05-25,Delhi
Dalvoy,Test Preparation Tech,Seed,680000.0,8i Ventures,,,2026-05-25,Delhi
IndiGrid,Transmission System Operators,Post-IPO,163000000.0,KKR,,,2026-05-25,Delhi
FusionStays,Travel & Hospitality - Travel Agencies,Seed,80200.0,Vruddhi Capital,,,2026-05-25,West Bengal
Blunav Technologies,Travel & Hospitality Tech,Seed,1000000.0,Piper Serica,,,2026-05-25,"Tamil Nadu, India"
Blunav Technologies,Travel & Hospitality Tech,Seed,1000000.0,StartupTN,,,2026-05-25,"Tamil Nadu, India"
Capture A Trip,Travel & Tourism,Angel,83200.0,Kunal Bahl,,,2026-05-25,Delhi
Cinefai,Video Creation Tools,Debt,54900.0,Ritesh Agarwal,,,2026-05-25,Maharashtra
Cinefai,Video Creation Tools,Angel,54900.0,Ritesh Agarwal,,,2026-05-25,Maharashtra
Yes Sir,Wellness Services,Seed,,Kolkata Ventures,,,2026-05-25,West Bengal
